Module Name,Phisycal Name,Bench Name,Unit Name,Data Type,Unit Type,Unit Measure,Decimals,LinkChannel,ModuleID,ChannelID,Description,
WatchDogCS,Watch Dog Analog,,,I32,GENERIC,,0,,3001,1,,
BeckhoffADS,AIA101,PTX 1 ,,SINGLE,GENERIC,,3,,3004,33,,
BeckhoffADS,AIA102,PTX 2,,SINGLE,GENERIC,,3,,3004,34,,
BeckhoffADS,AIA103,PTX 3,,SINGLE,GENERIC,,3,,3004,35,,
BeckhoffADS,AIA104,PTX 4,,SINGLE,GENERIC,,3,,3004,36,,
BeckhoffADS,AIA105,PTX 5,,SINGLE,GENERIC,,3,,3004,37,,
BeckhoffADS,AIA106,PTX 6,,SINGLE,GENERIC,,3,,3004,38,,
BeckhoffADS,AIA107,PTX 7,,SINGLE,GENERIC,,3,,3004,39,,
BeckhoffADS,AIA108,PTX 8,,SINGLE,GENERIC,,3,,3004,40,,
BeckhoffADS,AIA109,P_Baro,,SINGLE,GENERIC,mBar,0,,3004,41,,
BeckhoffADS,AIA109_30sAVERAGE,,P_Baro_30sAVERAGE,SINGLE,GENERIC,mBar,0,,3004,1041,,
BeckhoffADS,AIA110,RH,,SINGLE,GENERIC,%,1,,3004,42,,
BeckhoffADS,AIA110_30sAVERAGE,,RH_30sAVERAGE,SINGLE,GENERIC,%,1,,3004,1042,,
BeckhoffADS,AIA111,T_Air_Cell,,SINGLE,GENERIC,�C,2,,3004,43,,
BeckhoffADS,AIA111_30sAVERAGE,,T_Air_Cell_3-sAVERAGE,SINGLE,GENERIC,�C,2,,3004,1043,,
BeckhoffADS,AIA112,,,SINGLE,GENERIC,,3,,3004,44,,
BeckhoffADS,AIV101,AI 1,,SINGLE,GENERIC,V,3,,3004,45,,
BeckhoffADS,AIV102,AI 2,,SINGLE,GENERIC,V,3,,3004,46,,
BeckhoffADS,AIV103,AI 3,,SINGLE,GENERIC,V,3,,3004,47,,
BeckhoffADS,AIV104,AI 4,,SINGLE,GENERIC,V,3,,3004,48,,
BeckhoffADS,AIV105,AI 5,Q_Blowby_1,SINGLE,GENERIC,V,3,,3004,49,,
BeckhoffADS,AIV105_30sAVERAGE,,Q_Blowby_1_30sAVERAGE,SINGLE,GENERIC,V,3,,3004,1049,,
BeckhoffADS,AIV106,AI 6,,SINGLE,GENERIC,V,3,,3004,50,,
BeckhoffADS,AIV107,AI 7,,SINGLE,GENERIC,V,3,,3004,51,,
BeckhoffADS,AIV108,AI 8,,SINGLE,GENERIC,V,3,,3004,52,,
BeckhoffADS,RTD101,RTD 1,,SINGLE,GENERIC,�C,2,,3004,53,,
BeckhoffADS,RTD102,RTD 2,,SINGLE,GENERIC,�C,2,,3004,54,,
BeckhoffADS,RTD103,RTD 3,,SINGLE,GENERIC,�C,2,,3004,55,,
BeckhoffADS,RTD104,RTD 4,,SINGLE,GENERIC,�C,2,,3004,56,,
BeckhoffADS,RTD105,RTD 5,,SINGLE,GENERIC,�C,2,,3004,57,,
BeckhoffADS,RTD106,RTD 6,,SINGLE,GENERIC,�C,2,,3004,58,,
BeckhoffADS,RTD107,RTD 7,,SINGLE,GENERIC,�C,2,,3004,59,,
BeckhoffADS,RTD108,RTD 8,,SINGLE,GENERIC,�C,2,,3004,60,,
BeckhoffADS,TCK101,TCK 1 ,,SINGLE,GENERIC,�C,1,,3004,61,,
BeckhoffADS,TCK102,TCK 2,,SINGLE,GENERIC,�C,1,,3004,62,,
BeckhoffADS,TCK103,TCK 3,,SINGLE,GENERIC,�C,1,,3004,63,,
BeckhoffADS,TCK104,TCK 4,,SINGLE,GENERIC,�C,1,,3004,64,,
BeckhoffADS,TCK105,TCK 5,,SINGLE,GENERIC,�C,1,,3004,65,,
BeckhoffADS,TCK106,TCK 6,,SINGLE,GENERIC,�C,1,,3004,66,,
BeckhoffADS,TCK107,TCK 7,,SINGLE,GENERIC,�C,1,,3004,67,,
BeckhoffADS,TCK108,TCK 8,,SINGLE,GENERIC,�C,1,,3004,68,,
BeckhoffADS,TCK109,TCK 9,,SINGLE,GENERIC,�C,1,,3004,69,,
BeckhoffADS,TCK110,TCK 10,,SINGLE,GENERIC,�C,1,,3004,70,,
BeckhoffADS,TCK111,TCK 11,,SINGLE,GENERIC,�C,1,,3004,71,,
BeckhoffADS,TCK112,TCK 12,,SINGLE,GENERIC,�C,1,,3004,72,,
BeckhoffADS,TCK113,TCK 13,,SINGLE,GENERIC,�C,1,,3004,73,,
BeckhoffADS,TCK114,TCK 14,,SINGLE,GENERIC,�C,1,,3004,74,,
BeckhoffADS,TCK115,TCK 15,,SINGLE,GENERIC,�C,1,,3004,75,,
BeckhoffADS,TCK116,TCK 16,,SINGLE,GENERIC,�C,1,,3004,76,,
BeckhoffADS,ENC101,,,SINGLE,GENERIC,,2,,3004,77,,
BeckhoffADS,ENC102,,,SINGLE,GENERIC,,2,,3004,78,,
BeckhoffADS,LC101,Loadcell Input,,SINGLE,GENERIC,Nm,2,,3004,87,,
